task_type,sample_id,actions,expected_result,model_name,description
legality,1,vienna_night_run_participation_application_started_(1),True,process_103.bpmn,legality_small_true
legality,2,"vienna_night_run_participation_application_started_(1);select_starting_block(start,1);select_starting_block(end,1);check_registration(start,1);check_registration(end,1,yes)",False,process_103.bpmn,legality_small_false
legality,3,"vienna_night_run_participation_application_started_(1);check_registration(start,1);check_registration(end,1,yes);select_starting_block(start,1);select_starting_block(end,1);measure_the_time(start,1);measure_the_time(end,1);run(start,1);run(end,1);check_the_time_invested(start,1);check_the_time_invested(end,1,yes);get_starting_number(start,1);get_starting_number(end,1)",True,process_103.bpmn,legality_large_true
legality,4,"vienna_night_run_participation_application_started_(1);request_a_registration_in_the_app(start,1);request_a_registration_in_the_app(end,1)",False,process_103.bpmn,legality_large_false
conformance,5,"vienna_night_run_participation_application_started_(1);acquire(1, main_process);check_registration(start,1);check_registration(end,1,yes);select_starting_block(start,1);select_starting_block(end,1)",True,process_103.bpmn,conformance_small_true
conformance,6,"vienna_night_run_participation_application_started_(1);acquire(1, main_process);select_starting_block(start,1);select_starting_block(end,1);check_registration(start,1);check_registration(end,1,yes)",False,process_103.bpmn,conformance_small_false
conformance,7,"vienna_night_run_participation_application_started_(1);acquire(1, main_process);check_registration(start,1);check_registration(end,1,no)",True,process_103.bpmn,conformance_large_true
conformance,8,"vienna_night_run_participation_application_started_(1);acquire(1, main_process);select_starting_block(start,1);select_starting_block(end,1);check_registration(start,1);check_registration(end,1,yes);measure_the_time(start,1);measure_the_time(end,1);run(start,1);run(end,1);check_the_time_invested(start,1);check_the_time_invested(end,1,yes);get_starting_number(start,1);get_starting_number(end,1)",False,process_103.bpmn,conformance_large_false
legality,9,"application_window_open(1);enter_topic(start,1);enter_topic(end,1);enter_experience_(start,1);enter_experience_(end,1);enter_hobbies(start,1);enter_hobbies(end,1)",True,process_25.bpmn,legality_small_true
legality,10,"application_window_open(1);enter_experience_(start,1);enter_experience_(end,1);enter_topic(start,1);enter_topic(end,1)",False,process_25.bpmn,legality_small_false
legality,11,"application_window_open(1);enter_topic(start,1);enter_topic(end,1);enter_experience_(start,1);enter_experience_(end,1);enter_hobbies(start,1);enter_hobbies(end,1);specify_wage_(start,1);specify_wage_(end,1);apply(start,1);apply(end,1);recieve_offer(start,1);recieve_offer(end,1,yes);set_all_other_offers_invalid(start,1);set_all_other_offers_invalid(end,1)",True,process_25.bpmn,legality_large_true
legality,12,"application_window_open(1);enter_experience_(start,1);enter_experience_(end,1);enter_topic(start,1);enter_topic(end,1);enter_hobbies(start,1);enter_hobbies(end,1);specify_wage_(start,1);specify_wage_(end,1);apply(start,1);apply(end,1);recieve_offer(start,1);recieve_offer(end,1,yes)",False,process_25.bpmn,legality_large_false
conformance,13,"application_window_open(1);acquire(1, main_process);enter_topic(start,1);enter_topic(end,1);enter_experience_(start,1);enter_experience_(end,1);enter_hobbies(start,1);enter_hobbies(end,1)",True,process_25.bpmn,conformance_small_true
conformance,14,"application_window_open(1);acquire(1, main_process);enter_experience_(start,1);enter_experience_(end,1);enter_topic(start,1);enter_topic(end,1)",False,process_25.bpmn,conformance_small_false
conformance,15,"application_window_open(1);acquire(1, main_process);enter_topic(start,1);enter_topic(end,1);enter_experience_(start,1);enter_experience_(end,1);enter_hobbies(start,1);enter_hobbies(end,1);specify_wage_(start,1);specify_wage_(end,1);apply(start,1);apply(end,1);recieve_offer(start,1);recieve_offer(end,1,yes);set_all_other_offers_invalid(start,1);set_all_other_offers_invalid(end,1)",True,process_25.bpmn,conformance_large_true
conformance,16,"application_window_open(1);acquire(1, main_process);enter_experience_(start,1);enter_experience_(end,1);enter_topic(start,1);enter_topic(end,1);enter_hobbies(start,1);enter_hobbies(end,1);specify_wage_(start,1);specify_wage_(end,1);apply(start,1);apply(end,1);recieve_offer(start,1);recieve_offer(end,1,yes)",False,process_25.bpmn,conformance_large_false
legality,17,"receiving_an_order_(1);display_options(start,1);display_options(end,1);select_supplement(start,1);select_supplement(end,1,Wedges)",True,process_90.bpmn,legality_small_true
legality,18,"receiving_an_order_(1);select_supplement(start,1);select_supplement(end,1,Wedges);display_options(start,1);display_options(end,1)",False,process_90.bpmn,legality_small_false
legality,19,"receiving_an_order_(1);display_options(start,1);display_options(end,1);prepare_burger_(start,1);prepare_burger_(end,1)",True,process_90.bpmn,legality_large_true
legality,20,"receiving_an_order_(1);select_supplement(start,1);select_supplement(end,1,Wedges);display_options(start,1);display_options(end,1);prepare_wedges(start,1);prepare_wedges(end,1);select_drink(start,1);select_drink(end,1);select_size_of_the_drink(start,1);select_size_of_the_drink(end,1,Small)",False,process_90.bpmn,legality_large_false
conformance,21,"receiving_an_order_(1);acquire(1, main_process);display_options(start,1);display_options(end,1);select_supplement(start,1);select_supplement(end,1,Fries)",True,process_90.bpmn,conformance_small_true
conformance,22,"receiving_an_order_(1);acquire(1, main_process);select_supplement(start,1);select_supplement(end,1,Fries);display_options(start,1);display_options(end,1)",False,process_90.bpmn,conformance_small_false
